area,lat,lon
Carlton,-37.80114228,144.966496731
Carlton,-37.80096704,144.966659073
Carlton,-37.80081687,144.96576978
Carlton,-37.80103476,144.967184315
Carlton,-37.80118693,144.967160519
Carlton,-37.80162591,144.967236482
Carlton,-37.80175883,144.967217525
Carlton,-37.80180395,144.967209194
Carlton,-37.8021884,144.967142521
Carlton,-37.80401887,144.971635508
Carlton,-37.80482036,144.968286814
Carlton,-37.80305855,144.966780013
Carlton,-37.803305,144.966813823
Carlton,-37.80443778,144.966699249
Carlton,-37.80443778,144.966699249
Carlton,-37.80443778,144.966699249
Carlton,-37.80443778,144.966699249
Carlton,-37.80467681,144.965949772
Carlton,-37.80449163,144.965974373
Carlton,-37.80408996,144.966034229
Carlton,-37.80384773,144.966086487
Carlton,-37.80378355,144.966098423
Carlton,-37.80276989,144.963945272
Carlton,-37.80355391,144.963909099
Carlton,-37.80421362,144.962027353
Carlton,-37.80429344,144.962784486
Carlton,-37.80322367,144.961699343
Carlton,-37.80240996,144.960033983
Carlton,-37.8028778,144.959127095
Carlton,-37.80543863,144.964279069
Carlton,-37.80486182,144.964446103
Carlton,-37.80493297,144.963920625
Carlton,-37.80483648,144.96352823
Carlton,-37.8060084,144.963330013
Carlton,-37.80593475,144.963957764
Carlton,-37.80671734,144.965526156
Parkville,-37.79738772,144.961258672
Parkville,-37.79738772,144.961258672
North Melbourne,-37.79358681,144.946696043
North Melbourne,-37.79589356,144.938522996
North Melbourne,-37.80252643,144.94713843
North Melbourne,-37.80473151,144.948970536
North Melbourne,-37.80430342,144.949079409
North Melbourne,-37.80430161,144.948881736
North Melbourne,-37.80412429,144.949085065
North Melbourne,-37.80260762,144.949406198
North Melbourne,-37.8024571,144.949460849
North Melbourne,-37.80496737,144.950145426
North Melbourne,-37.80422555,144.953673523
North Melbourne,-37.80409478,144.953696037
North Melbourne,-37.80357227,144.952776962
North Melbourne,-37.80509175,144.954243272
North Melbourne,-37.80537801,144.954338535
North Melbourne,-37.80444772,144.956661895
North Melbourne,-37.80439443,144.958143026
North Melbourne,-37.80337398,144.95601867
North Melbourne,-37.80223499,144.950095564
North Melbourne,-37.79936937,144.954000416
North Melbourne,-37.79930773,144.953791933
North Melbourne,-37.79856463,144.952858592
West Melbourne (Residential),-37.80605115,144.942620969
West Melbourne (Residential),-37.8068965,144.945352806
West Melbourne (Residential),-37.80643135,144.944905055
West Melbourne (Residential),-37.8080043,144.945577948
West Melbourne (Residential),-37.80784196,144.946624618
West Melbourne (Residential),-37.80539371,144.949792546
West Melbourne (Residential),-37.80538852,144.94963128
West Melbourne (Residential),-37.80883464,144.948632857
West Melbourne (Residential),-37.80844834,144.949379147
West Melbourne (Residential),-37.80739774,144.952572489
West Melbourne (Residential),-37.8059984,144.954768041
West Melbourne (Residential),-37.80590009,144.954044804
West Melbourne (Residential),-37.80619737,144.955584299
West Melbourne (Residential),-37.80606639,144.955603657
West Melbourne (Residential),-37.80604868,144.955442178
West Melbourne (Residential),-37.80951681,144.950604342
West Melbourne (Residential),-37.80886049,144.951685372
Kensington,-37.79956864,144.93036435
Kensington,-37.79458129,144.929445017
Kensington,-37.79454041,144.929242857
Kensington,-37.79223674,144.925609612
Kensington,-37.78257295,144.915521168
